metric,dataset,tuning,model,error_rate,bias,score
demographic_parity,communities,True,iFlipper_MultiAdversarialDebiasing,39.565943238731215,0.0,19.782971619365608
demographic_parity,communities,False,iFlipper_AdversarialDebiasing,39.565943238731215,0.0,19.782971619365608
demographic_parity,communities,True,iFlipper_AdversarialDebiasing,39.565943238731215,0.0,19.782971619365608
demographic_parity,communities,False,iFlipper_GerryFairClassifier,39.565943238731215,0.0,19.782971619365608
demographic_parity,communities,True,iFlipper_GerryFairClassifier,39.565943238731215,0.665551839464883,20.11574753909805
demographic_parity,communities,True,iFlipper_MetaFairClassifier,44.07345575959933,0.2686733556298754,22.1710645576146
demographic_parity,communities,False,iFlipper_PrejudiceRemover,39.565943238731215,0.0,19.782971619365608
demographic_parity,communities,True,iFlipper_PrejudiceRemover,39.565943238731215,0.0,19.782971619365608
demographic_parity,communities,False,iFlipper_ExponentiatedGradientReduction,39.565943238731215,0.0,19.782971619365608
demographic_parity,communities,True,iFlipper_ExponentiatedGradientReduction,39.565943238731215,0.0,19.782971619365608
demographic_parity,communities,False,iFlipper_GridSearchReduction,39.565943238731215,0.0,19.782971619365608
demographic_parity,communities,True,iFlipper_GridSearchReduction,39.565943238731215,0.0,19.782971619365608
demographic_parity,communities,True,iFlipper_AdaFair,39.565943238731215,0.0,19.782971619365608
demographic_parity,communities,True,iFlipper_FairGeneralizedLinearModel,30.884808013355592,5.974358974358973,18.429583493857283
demographic_parity,communities,True,iFlipper_FairnessConstraintModel,31.71953255425709,6.972129319955406,19.345830937106246
demographic_parity,communities,True,iFlipper_DisparateMistreatmentModel,31.88647746243739,7.305462653288741,19.595970057863067
demographic_parity,communities,True,iFlipper_ConvexFrameworkModel,32.220367278798,3.3076923076923075,17.764029793245154
demographic_parity,communities,True,iFlipper_HSICLinearRegression,33.2220367278798,1.308807134894091,17.265421931386943
demographic_parity,communities,True,iFlipper_GeneralFairERM,39.565943238731215,3.8361204013377943,21.701031820034505
demographic_parity,communities,True,iFlipper_FAGTB,31.71953255425709,2.9698996655518397,17.344716109904464
demographic_parity,communities,True,iFlipper_FairDummies,31.38564273789649,3.639910813823857,17.512776775860175
demographic_parity,communities,True,iFlipper_HGR,60.43405676126879,0.0,30.217028380634396
demographic_parity,communities,True,iFlipper_GradualCompatibility,33.889816360601,1.312151616499442,17.600983988550222
demographic_parity,communities,True,iFlipper_fairret,33.889816360601,0.0278706800445935,16.958843520322798
